sample_id,condition_id,input_raw,source_relative_path,source_scenario_type,prompt,occluder_type,occluder_side,pedestrian_speed_mps,risk_level,replicate,prompt_case_id,template_seed,semantic_direction,direction,source_format,construction_mode,source_scene_usage,b0_raw,b1_raw,artifact_root,template_validation_pass,concrete_parameter_sample_ready,sampled_scene_ready,sampled_occluder_side,sampled_concrete_direction,road_parameter_source,ego_state_source,hard_road_lane_preserved,background_actor_edit_count,background_reposition_count,background_removal_count,background_removal_used,ego_state_edited,elastic_selected_attempt,semantic_lane_center_y,semantic_projection_time_s,frame_check_pass,mapped_spec_check_pass,strict_validation_pass,b0_pass,b1_pass,b1_semantic_satisfaction_rate,visualization,visualization_warning
language-occ_ped_006__r01__64e45cf8,language-occ_ped_006,../exp/caches/autoencoder_cache/2021.07.24.23.59.52_veh-12_01548_02862/crossed_by_vehicle/6ce0f8164f835b0f/sledge_raw.gz,2021.07.24.23.59.52_veh-12_01548_02862/crossed_by_vehicle/6ce0f8164f835b0f/sledge_raw.gz,crossed_by_vehicle,"A pedestrian is fully hidden by a parked truck at the curb, then abruptly enters the ego lane.",,sample_once,,aggressive,1,occ_ped_006,1968861237,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_006__r01__64e45cf8/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_006__r01__64e45cf8/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_006__r01__64e45cf8,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_006__r01__64e45cf8/03_editing/b0_b1_comparison.png,
language-occ_ped_007__r00__aa8e1fe2,language-occ_ped_007,../exp/caches/autoencoder_cache/2021.05.24.17.57.11_veh-35_03534_03808/crossed_by_vehicle/bde0783a5aa3515f/sledge_raw.gz,2021.05.24.17.57.11_veh-35_03534_03808/crossed_by_vehicle/bde0783a5aa3515f/sledge_raw.gz,crossed_by_vehicle,A slowly moving pedestrian appears from behind a parked car on the right roadside and enters the ego lane at 0.8 m/s.,,right,0.8,mild,0,occ_ped_007,3428393531,occluder_to_ego_path,right_to_left,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_007__r00__aa8e1fe2/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_007__r00__aa8e1fe2/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_007__r00__aa8e1fe2,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_007__r00__aa8e1fe2/03_editing/b0_b1_comparison.png,
language-occ_ped_007__r01__f87e4dcc,language-occ_ped_007,../exp/caches/autoencoder_cache/2021.09.23.07.22.32_veh-53_00127_00342/traversing_intersection/b117b8c1403b5ecb/sledge_raw.gz,2021.09.23.07.22.32_veh-53_00127_00342/traversing_intersection/b117b8c1403b5ecb/sledge_raw.gz,traversing_intersection,A slowly moving pedestrian appears from behind a parked car on the right roadside and enters the ego lane at 0.8 m/s.,,right,0.8,mild,1,occ_ped_007,30023722,occluder_to_ego_path,right_to_left,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_007__r01__f87e4dcc/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_007__r01__f87e4dcc/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_007__r01__f87e4dcc,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_007__r01__f87e4dcc/03_editing/b0_b1_comparison.png,
language-occ_ped_008__r00__8b59a193,language-occ_ped_008,../exp/caches/autoencoder_cache/2021.09.10.14.44.55_veh-42_00243_00683/traversing_intersection/acbf355f13de51c1/sledge_raw.gz,2021.09.10.14.44.55_veh-42_00243_00683/traversing_intersection/acbf355f13de51c1/sledge_raw.gz,traversing_intersection,A pedestrian suddenly comes out from behind a bus on the left side and heads for the ego path at 1.9 m/s.,,left,1.9,aggressive,0,occ_ped_008,942490800,occluder_to_ego_path,left_to_right,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_008__r00__8b59a193/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_008__r00__8b59a193/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_008__r00__8b59a193,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,3,3,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_008__r00__8b59a193/03_editing/b0_b1_comparison.png,
language-occ_ped_008__r01__749ab3f9,language-occ_ped_008,../exp/caches/autoencoder_cache/2021.09.28.05.46.14_veh-50_01010_01501/changing_lane_to_right/e9eba6cb522c5b7b/sledge_raw.gz,2021.09.28.05.46.14_veh-50_01010_01501/changing_lane_to_right/e9eba6cb522c5b7b/sledge_raw.gz,changing_lane_to_right,A pedestrian suddenly comes out from behind a bus on the left side and heads for the ego path at 1.9 m/s.,,left,1.9,aggressive,1,occ_ped_008,3157530024,occluder_to_ego_path,left_to_right,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_008__r01__749ab3f9/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_008__r01__749ab3f9/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_008__r01__749ab3f9,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_008__r01__749ab3f9/03_editing/b0_b1_comparison.png,
language-occ_ped_009__r00__d0c01e98,language-occ_ped_009,../exp/caches/autoencoder_cache/2021.07.22.00.26.04_veh-38_02683_04368/changing_lane_to_right/afb413b159975b87/sledge_raw.gz,2021.07.22.00.26.04_veh-38_02683_04368/changing_lane_to_right/afb413b159975b87/sledge_raw.gz,changing_lane_to_right,A schoolboy is obscured by a parked van and then steps into the ego lane.,,sample_once,,,0,occ_ped_009,2377157673,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_009__r00__d0c01e98/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_009__r00__d0c01e98/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_009__r00__d0c01e98,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_009__r00__d0c01e98/03_editing/b0_b1_comparison.png,
language-occ_ped_009__r01__4bf8d7a1,language-occ_ped_009,../exp/caches/autoencoder_cache/2021.09.03.16.38.35_veh-08_00026_00837/unknown/3283fc996f90530d/sledge_raw.gz,2021.09.03.16.38.35_veh-08_00026_00837/unknown/3283fc996f90530d/sledge_raw.gz,unknown,A schoolboy is obscured by a parked van and then steps into the ego lane.,,sample_once,,,1,occ_ped_009,834341891,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_009__r01__4bf8d7a1/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_009__r01__4bf8d7a1/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_009__r01__4bf8d7a1,True,True,True,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_009__r01__4bf8d7a1/03_editing/b0_b1_comparison.png,
language-occ_ped_010__r00__f45c2d0d,language-occ_ped_010,../exp/caches/autoencoder_cache/2021.06.11.11.57.05_veh-12_03698_04111/unknown/f52e731e84d25a4f/sledge_raw.gz,2021.06.11.11.57.05_veh-12_03698_04111/unknown/f52e731e84d25a4f/sledge_raw.gz,unknown,A runner hidden behind a roadside barrier becomes visible and moves across the ego path.,,sample_once,,,0,occ_ped_010,50914351,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_010__r00__f45c2d0d/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_010__r00__f45c2d0d/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_010__r00__f45c2d0d,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,0,0,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_010__r00__f45c2d0d/03_editing/b0_b1_comparison.png,
language-occ_ped_010__r01__85cb5df8,language-occ_ped_010,../exp/caches/autoencoder_cache/2021.07.22.00.26.04_veh-38_02683_04368/following_lane_with_lead/aa1da655e7f35aac/sledge_raw.gz,2021.07.22.00.26.04_veh-38_02683_04368/following_lane_with_lead/aa1da655e7f35aac/sledge_raw.gz,following_lane_with_lead,A runner hidden behind a roadside barrier becomes visible and moves across the ego path.,,sample_once,,,1,occ_ped_010,3320062287,occluder_to_ego_path,derived_after_sampling,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_010__r01__85cb5df8/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_010__r01__85cb5df8/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_010__r01__85cb5df8,True,True,False,left,left_to_right,b0_scene_context,hierarchical_template_semantic_control,True,1,1,0,False,True,0,0.0,2.1,True,True,False,False,False,0.9090909090909091,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_010__r01__85cb5df8/03_editing/b0_b1_comparison.png,
language-occ_ped_011__r00__1881e3f1,language-occ_ped_011,../exp/caches/autoencoder_cache/2021.07.23.18.11.29_veh-37_01691_03419/following_lane_with_lead/d9182b35b22b5613/sledge_raw.gz,2021.07.23.18.11.29_veh-37_01691_03419/following_lane_with_lead/d9182b35b22b5613/sledge_raw.gz,following_lane_with_lead,A pedestrian partially concealed behind a parked truck on the right begins entering the ego lane.,,right,,,0,occ_ped_011,311123467,occluder_to_ego_path,right_to_left,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_011__r00__1881e3f1/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_011__r00__1881e3f1/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_011__r00__1881e3f1,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,1,1,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_011__r00__1881e3f1/03_editing/b0_b1_comparison.png,
language-occ_ped_011__r01__db7c9509,language-occ_ped_011,../exp/caches/autoencoder_cache/2021.09.20.14.04.18_veh-08_01165_02197/starting_protected_cross_turn/82543e242e7b5d9a/sledge_raw.gz,2021.09.20.14.04.18_veh-08_01165_02197/starting_protected_cross_turn/82543e242e7b5d9a/sledge_raw.gz,starting_protected_cross_turn,A pedestrian partially concealed behind a parked truck on the right begins entering the ego lane.,,right,,,1,occ_ped_011,3219110657,occluder_to_ego_path,right_to_left,dict,edit_existing,road_fixed_elastic_semantic_base_scene,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b0_original_cache/language-occ_ped_011__r01__db7c9509/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/b1_edited_cache/language-occ_ped_011__r01__db7c9509/sledge_raw.gz,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_011__r01__db7c9509,True,True,True,right,right_to_left,b0_scene_context,hierarchical_template_semantic_control,True,1,1,0,False,True,0,0.0,2.1,True,True,True,False,True,1.0,/home16T/home8T_1/leitingting/sledge_workspace/sledge/output/language24/artifacts/language-occ_ped_011__r01__db7c9509/03_editing/b0_b1_comparison.png,
